,gameID,team_name,team_ice,player,position,stats
10,2013021112,Florida Panthers,home,8475760,Center,"{u'timeOnIce': u'17:35', u'plusMinus': 0, u'hits': 3, u'penaltyMinutes': 0, u'faceoffTaken': 15, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 1, u'blocked': 0, u'powerPlayAssists': 0, u'evenTimeOnIce': u'13:28', u'assists': 0, u'powerPlayGoals': 0, u'goals': 0, u'shots': 2, u'shortHandedAssists': 0, u'faceOffWins': 7, u'powerPlayTimeOnIce': u'3:21', u'faceOffPct': 46.67, u'shortHandedTimeOnIce': u'0:46'}"
11,2013021112,Florida Panthers,home,8475769,Center,"{u'timeOnIce': u'12:09', u'plusMinus': -1, u'hits': 0, u'penaltyMinutes': 0, u'faceoffTaken': 1, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 0, u'powerPlayAssists': 0, u'evenTimeOnIce': u'8:22', u'assists': 0, u'powerPlayGoals': 0, u'goals': 0, u'shots': 2, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'0:08', u'faceOffPct': 0.0, u'shortHandedTimeOnIce': u'3:39'}"
12,2013021112,Florida Panthers,home,8475790,Defenseman,"{u'timeOnIce': u'18:26', u'plusMinus': -2, u'hits': 2, u'penaltyMinutes': 2, u'faceoffTaken': 0, u'takeaways': 1, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 1, u'powerPlayAssists': 0, u'evenTimeOnIce': u'14:40', u'assists': 0, u'goals': 0, u'shots': 1, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'0:21', u'powerPlayGoals': 0, u'shortHandedTimeOnIce': u'3:25'}"
13,2013021112,Florida Panthers,home,8474606,Defenseman,"{u'timeOnIce': u'14:48', u'plusMinus': 0, u'hits': 3, u'penaltyMinutes': 2, u'faceoffTaken': 0, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 2, u'powerPlayAssists': 0, u'evenTimeOnIce': u'11:05', u'assists': 0, u'goals': 0, u'shots': 0, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'0:14', u'powerPlayGoals': 0, u'shortHandedTimeOnIce': u'3:29'}"
14,2013021112,Florida Panthers,home,8466285,Defenseman,"{u'timeOnIce': u'23:58', u'plusMinus': -2, u'hits': 2, u'penaltyMinutes': 0, u'faceoffTaken': 0, u'takeaways': 1, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 1, u'powerPlayAssists': 0, u'evenTimeOnIce': u'18:52', u'assists': 1, u'goals': 0, u'shots': 2, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'4:04', u'powerPlayGoals': 0, u'shortHandedTimeOnIce': u'1:02'}"
15,2013021112,Florida Panthers,home,8460492,Defenseman,"{u'timeOnIce': u'17:22', u'plusMinus': -1, u'hits': 0, u'penaltyMinutes': 0, u'faceoffTaken': 0, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 0, u'powerPlayAssists': 0, u'evenTimeOnIce': u'9:19', u'assists': 0, u'goals': 0, u'shots': 1, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'3:00', u'powerPlayGoals': 0, u'shortHandedTimeOnIce': u'5:03'}"
16,2013021112,Florida Panthers,home,8476389,Center,"{u'timeOnIce': u'17:40', u'plusMinus': -2, u'hits': 2, u'penaltyMinutes': 2, u'faceoffTaken': 13, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 1, u'blocked': 0, u'powerPlayAssists': 0, u'evenTimeOnIce': u'12:04', u'assists': 0, u'powerPlayGoals': 0, u'goals': 0, u'shots': 1, u'shortHandedAssists': 0, u'faceOffWins': 6, u'powerPlayTimeOnIce': u'3:01', u'faceOffPct': 46.15, u'shortHandedTimeOnIce': u'2:35'}"
17,2013021112,Florida Panthers,home,8475204,Center,"{u'timeOnIce': u'11:21', u'plusMinus': -2, u'hits': 0, u'penaltyMinutes': 2, u'faceoffTaken': 1, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 0, u'powerPlayAssists': 0, u'evenTimeOnIce': u'8:47', u'assists': 0, u'powerPlayGoals': 0, u'goals': 0, u'shots': 2, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'2:34', u'faceOffPct': 0.0, u'shortHandedTimeOnIce': u'0:00'}"
21,2013021112,Montreal Canadiens,away,8468114,Defenseman,"{u'timeOnIce': u'18:02', u'plusMinus': 0, u'hits': 4, u'penaltyMinutes': 0, u'faceoffTaken': 0, u'takeaways': 0, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 2, u'powerPlayAssists': 0, u'evenTimeOnIce': u'14:27', u'assists': 0, u'goals': 0, u'shots': 0, u'shortHandedAssists': 0, u'faceOffWins': 0, u'powerPlayTimeOnIce': u'0:00', u'powerPlayGoals': 0, u'shortHandedTimeOnIce': u'3:35'}"
22,2013021112,Montreal Canadiens,away,8475848,Right Wing,"{u'timeOnIce': u'12:21', u'plusMinus': 0, u'hits': 0, u'penaltyMinutes': 0, u'faceoffTaken': 1, u'takeaways': 1, u'shortHandedGoals': 0, u'giveaways': 0, u'blocked': 0, u'powerPlayAssists': 0, u'evenTimeOnIce': u'9:27', u'assists': 0, u'powerPlayGoals': 0, u'goals': 0, u'shots': 1, u'shortHandedAssists': 0, u'faceOffWins': 1, u'powerPlayTimeOnIce': u'2:54', u'faceOffPct': 100.0, u'shortHandedTimeOnIce': u'0:00'}"
